RegionID,RegionName,StateName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
269539,North End,Idaho,749,312400,299500,312700,284200,295600,298200,310300,307600,295500,286500,300800,324200,338600,330200,314600,307000,331500,344900,327900,312300,316600,337900,338600,322500,325400,385400,412200,428300,363100,339900,318000,314800,346900,355700,394500,400700,404800,415500,408200,427200,393600,393300,409800,442400,443600,446200,423600,425700,404500,467000,495900,512500,494700,505600,499800,466400,447600,443600,467300,475400,556000,,
273697,Family Acres,Nebraska,750,234900,236400,251700,254100,247600,252000,249100,255400,240500,247200,247000,238100,259400,263700,287400,270800,265700,259000,255600,257000,257800,279900,274700,289200,272700,259400,261700,269000,289000,274200,269700,265200,280500,275100,293700,284100,294600,293100,291900,284000,285800,306400,312300,308000,317700,316700,306000,295900,309000,321000,320100,302400,302300,295400,296500,292000,286600,307300,308800,318700,299900,311200,306300
623404,Highland Garden,Florida,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217500,212800,202400,207600,216800,223500,225000,221000,212800,206700,205000,207900,210000,230400,240900,219700,195000,204200,225400,243100,245300,254500,239900,230800,221100,239400,235000,244000
268612,Athmar Park,Colorado,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297200,300400,305300,310200,303900,311900,311100,323700,322500,324700,328300,341000,348800,352900,344900,343300,343900,346500,349600,348400,347700,349800,349300,349600,339800,333800,314800,323000,333300,363900,350400,355600,348700,357300
396662,Erlton-Ellisburg,New Jersey,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203800,199100,203800,201200,180300,178700,184000,201700,200600,201700,196400,198400,188900,195600,191600,203000,201400,192900,179800,183400,201800,198500,217700,215000,232700,215900,217700,192600,189000,190200,241600,251400,251000,227900,230800
274718,North Hills,Texas,754,153700,144900,152600,154200,158600,150200,149200,150100,150300,154500,148800,153100,154200,159100,157600,150900,153500,150400,154500,150000,154300,156800,160800,159500,157200,153700,152100,155200,154900,156500,156100,160500,160200,161100,167800,170900,167200,164000,164300,174300,172400,177800,170400,169300,160100,159900,160000,165500,169100,180600,174800,182200,165600,175800,168600,184600,177500,179900,174700,179800,170100,180200,173100
276638,Water Catchment Area,Florida,755,215900,206600,207100,229600,223100,232900,214000,204800,198200,226500,247000,250100,239100,236100,239400,223500,239700,248000,261800,240700,228000,219000,226500,238900,212600,215500,224900,262200,268400,249800,251200,245400,255000,252600,252600,248900,251200,261600,277800,277800,268500,253400,265000,273200,291700,295500,287800,277600,274500,284000,283500,269400,266100,258100,254400,242500,239800,253000,276000,280500,272200,278200,283900
269391,North Buckhead,Georgia,756,,,,,,353100,358700,349400,370300,355900,366200,367600,433800,438500,440000,368500,355500,341700,339800,333900,344600,334400,335700,375900,381200,444300,378100,384900,327100,421400,434600,434600,364100,358200,369200,373400,461700,434900,449400,339200,413000,414700,423000,365500,350700,375000,384400,402600,424400,442700,451700,449700,512500,551200,502100,435900,406000,473100,473400,453500,461800,453200,467600
202657,Oakley,Ohio,757,205600,224600,207800,213800,218100,237700,231400,221800,223300,222400,230400,234000,217400,228400,234300,249000,238800,227800,228000,231000,246300,257400,259500,251400,252400,245600,243600,209200,208200,210600,249000,264600,262600,245100,235200,242800,252200,261600,256600,265400,259700,272500,265300,272100,269300,278200,262300,260700,268400,289800,280100,257600,250900,250600,261400,270300,267900,280600,256700,284900,276700,297900,292400
276523,Providence Plantation,North Carolina,758,412900,400100,402700,412600,404500,410400,431200,425700,430100,430300,431200,451500,453400,475800,441900,433800,418900,428700,422900,429200,421200,433200,429300,434900,438400,432800,459400,462900,471800,447800,441400,401500,408900,368100,412600,433200,458000,455700,428700,437500,427700,445700,466900,471700,464300,467600,491600,488500,482000,472200,469100,458700,437000,431800,428900,431700,473000,476700,478800,461300,458200,473400,442900
